"Date","Price","Open","High","Low","Vol.","Change %"
"05-06-2016","26,635.75","26,897.84","27,105.41","26,620.50","57.96M","-0.77%"
"29-05-2016","26,843.03","26,694.75","27,008.14","26,561.58","81.26M","0.71%"
"22-05-2016","26,653.60","25,447.72","26,677.43","25,181.47","68.25M","5.34%"
"15-05-2016","25,301.90","25,528.80","25,927.31","25,251.90","63.94M","-0.74%"
"08-05-2016","25,489.57","25,321.83","25,827.03","25,302.86","55.41M","1.03%"
"01-05-2016","25,228.50","25,565.44","25,705.96","25,057.93","58.92M","-1.48%"
"24-04-2016","25,606.62","25,891.03","26,100.54","25,424.03","61.80M","-0.90%"
"17-04-2016","25,838.14","25,833.16","26,080.07","25,634.12","52.90M","0.82%"
"10-04-2016","25,626.75","24,789.40","25,671.50","24,523.20","53.62M","3.86%"
"03-04-2016","24,673.84","25,333.98","25,424.15","24,608.51","63.71M","-2.36%"
"27-03-2016","25,269.64","25,417.11","25,479.62","24,835.56","56.45M","-0.27%"
"20-03-2016","25,337.56","25,007.56","25,381.33","24,988.27","35.01M","1.54%"
"13-03-2016","24,952.74","24,801.70","24,986.94","24,354.55","84.51M","0.95%"
"06-03-2016","24,717.99","24,655.19","24,820.76","24,451.60","69.23M","0.29%"
"28-02-2016","24,646.48","23,238.50","24,719.05","22,494.61","138.32M","6.44%"
"21-02-2016","23,154.30","23,783.47","23,855.04","22,948.10","69.72M","-2.34%"
"14-02-2016","23,709.15","23,223.43","23,774.48","22,920.84","89.11M","3.15%"
"07-02-2016","22,986.12","24,637.41","24,698.95","22,600.39","93.74M","-6.62%"
"31-01-2016","24,616.97","24,982.22","25,002.32","24,187.54","62.51M","-1.02%"
"24-01-2016","24,870.69","24,540.97","24,911.90","24,340.06","39.48M","1.78%"
"17-01-2016","24,435.66","24,400.78","24,563.34","23,839.76","60.95M","-0.08%"
"10-01-2016","24,455.04","24,787.11","25,018.46","24,387.69","64.43M","-1.92%"
"03-01-2016","24,934.33","26,116.52","26,116.52","24,825.70","62.48M","-4.69%"
"27-12-2015","26,160.90","25,858.52","26,197.27","25,856.86","32.45M","1.25%"
"20-12-2015","25,838.71","25,425.32","25,922.47","25,413.54","28.79M","1.25%"
"13-12-2015","25,519.22","24,935.60","25,831.31","24,867.73","67.27M","1.90%"
"06-12-2015","25,044.43","25,746.03","25,785.53","24,930.43","60.56M","-2.32%"
